"","peak_id","peak_name","host_contries","alternative_names","height_m","height_ft","location","region","restrictions","climb_status","is_open","is_unlisted","is_trekking","trek_year","first_asc_yr","first_asc_season","first_asc_date","countries","first_summiters","summiters_notes","lat","long"
"442","TSIS","Tsisima","Nepal only","Chijima, MDM Peak",6196,20328,"Janak/Ohmi Kangri","Kangchenjunga-Janak","","Climbed",0,1,0,0,1963,"Spring","Jun 03","Japan, Nepal","Motohiko Kogo, Kunga Norbu","",NA,NA
"443","TSKP","Tso Karpo","Nepal only","",6518,21385,"Kanjiroba","Far West-Kanjiroba","Opened in 2002","Unclimbed",1,0,0,0,0,"All","","","Unclimbed","",28.7131787,93.5579664903281
"444","TSOK","Tso Karpo Kang","Nepal only","Tso Karpo Khang",6556,21509,"Kanjiroba","Far West-Kanjiroba","Opened in 2002","Climbed",1,0,0,0,1971,"Autumn","Oct 25","Japan","Shoji Miyoshi, Koji Mizutani","",NA,NA
"445","TSUR","Tsaurabong Peak","Nepal only","Chara Ban Peak, White Peak",6395,20981,"Dhaulagiri","Dhaulagiri-Mukut","","Climbed",0,1,0,0,1974,"Spring","","Japan, Nepal","Genzaburo Yamasaki, Sherpas (?)","",28.6891711,83.379961
"446","TUKU","Tukuche","Nepal only","",6920,22703,"Dhaulagiri","Dhaulagiri-Mukut","","Climbed",1,0,0,0,1970,"Spring","Apr 30","Japan","Hirosuke Kikuchi, Eiho Otani, Takao Yonemoto","1st unofficial ascent by USA in 1968?",28.7108973,83.6452283
"447","TUTS","Tutse","Nepal only","Peak 6, Nephu",6758,22172,"Makalu","Khumbu-Rolwaling-Makalu","Opened in 2003","Unclimbed",1,0,0,0,0,"All","","","Unclimbed?","Possibly climbed during acclimatization for Makalu by various teams",50.7574167,5.0805866
"448","URKM","Urkinmang","Nepal only","Buddha",6143,20154,"Jugal","Langtang-Jugal","","Climbed",1,0,0,0,1964,"Spring","May 20","Japan, Nepal","Akira Ban, Kazuhisa Jokei, Tesuya Kiyohara, Mingma Tshering Sherpa","",NA,NA
"449","URMA","Urkema","Nepal only","Baden Powell Scout Peak, Urgyenma",5890,19324,"Langtang","Langtang-Jugal","","Climbed",1,0,0,0,2007,"Autumn","Sep 12","Taiwan, S Korea, Singapore, Australia, Nepal","15 international scout students and 6 Sherpas","",28.1675861,85.5333835
"450","YAKA","Yakawa Kang","Nepal only","",6482,21266,"Damodar","Annapurna-Damodar-Peri","Opened in 2003","Climbed",1,0,0,0,2010,"Autumn","Nov 07","Japan, Nepal","Hidenobu Tsuji, Dawa Norbu Sherpa, Dawa Tshering Sherpa, Tshering Tashi Sherpa","",28.8089011,83.9419335
"451","YALU","Yalung Kang","Nepal only","Yalungkar",8505,27904,"Kangchenjunga/Simhalila","Kangchenjunga-Janak","","Climbed",1,0,0,0,1973,"Spring","May 14","Japan","Yutaka Ageta, Takao Matsuda","1st ascent claimed",NA,NA
"452","YALW","Yalung Kang West","Nepal only","",8077,26499,"Kangchenjunga/Simhalila","Kangchenjunga-Janak","Opened in 2014","Unclimbed",1,0,0,0,0,"All","","","Unclimbed","",NA,NA
"453","YANG","Yangri","Nepal & China","Jugal",6535,21440,"Jugal","Langtang-Jugal","Opened in 2014","Unclimbed",1,0,0,0,0,"All","","","Unclimbed?","Possibly climbed by Carla Maverna and Irene Affentranger in October 1976 (see AAJ 50:518 (1976))",31.7357717,110.8170658
"454","YANK","Yanme Kang","Nepal & China","Yanme Khang",6206,20361,"Janak/Ohmi Kangri","Kangchenjunga-Janak","Opened in 2003","Climbed",1,0,0,0,2017,"Autumn","Oct 29","France","Gregoire Lestienne, Floriane Pugin","May have climbed the 6244m peak northwest of the 6206m peak that Ministry calls Yanme Kang.",NA,NA
"455","YANS","Yansa Tsenji","Nepal only","Dragpoche, Dhagpache",6567,21545,"Langtang","Langtang-Jugal","Opened in 2003","Unclimbed",1,0,0,0,0,"All","","","Unclimbed","",28.2564939,85.6055269
"456","YARA","Yala Chuli","Nepal & China","Yara Chuli",6236,20459,"Kanti/Palchung","Far West-Kanjiroba","Opened in 2014","Unclimbed",1,0,0,0,0,"All","","","Unclimbed","",NA,NA
"457","YARW","Yarwa","Nepal only","",6644,21798,"Api/Byas Risi/Guras","Far West-Kanjiroba","Opened in 2014","Unclimbed",1,0,0,0,0,"All","","","Unclimbed","",11.4281505,14.129929
"458","YAUP","Yaupa","Nepal & China","",6422,21070,"Makalu","Khumbu-Rolwaling-Makalu","Opened in 2003","Climbed",1,0,0,0,1989,"Autumn","Sep","UK, USA","Andy Fanshawe, Vic Saunders, Stephen Sustad","",27.8369772,87.1407882
"459","YNGS","Yangra Kangri South","Nepal & China","Yangra South, Ganesh I South",6863,22516,"Ganesh/Shringi","Manaslu-Ganesh","Opened in 2014","Unclimbed",1,0,0,0,0,"All","","","Unclimbed?","",NA,NA
"460","YOKO","Yokopahar","Nepal & China","Nampa VIII",6423,21073,"Api/Byas Risi/Guras","Far West-Kanjiroba","Opened in 2002","Unclimbed",1,0,0,0,0,"All","","","Unclimbed","",NA,NA
"461","YUBR","Yubra","Nepal only","",6264,20551,"Langtang","Langtang-Jugal","","Unclimbed",0,1,0,0,0,"All","","","","",64.370126,44.271856
